solvent,solute,temperature
CCCCCCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CCCCCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CO,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CCO,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CC(C)O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CC(=O)C,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CC#N,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CS(=O)C,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CCCC,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
C(F)(F)C(F)F,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
O=C=O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CCCCCCCC(=O)O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CCCCCCCCCC(=O)O,CCCCCC1=CC(=C2C(=C1)OC(C3=C2C=C(C=C3)C)(C)C)O,298.15
CCCCCCC,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CCCCCC,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CO,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CCO,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CC(C)O,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CC(=O)C,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CC#N,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CS(=O)C,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CCC,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CCCC,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
C(F)(F)C(F)F,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
O=C=O,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CCCCCCCC(=O)O,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CCCCCCCCCC(=O)O,CCCCCC1=CC(=C2C(=C1)OC3=C(C=CC(=C23)C(C)C)C)O,298.15
CCCCCCC,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CCCCCC,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CO,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CCO,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CC(C)O,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CC(=O)C,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CC#N,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CS(=O)C,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CCC,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CCCC,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
C(F)(F)C(F)F,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
O=C=O,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CCCCCCCC(=O)O,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CCCCCCCCCC(=O)O,CCCCCC1=CC(=C(C(C=C1)O)C2=C(C=CC(=C2)C)C(=C)C)O,298.15
CCCCCCC,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CCCCCC,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CO,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CCO,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CC(C)O,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CC(=O)C,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CC#N,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CS(=O)C,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CCC,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CCCC,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
C(F)(F)C(F)F,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
O=C=O,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CCCCCCCC(=O)O,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CCCCCCCCCC(=O)O,CCCCCC1=CC2=C(C3=C(C=CC(=C3)C)C(O2)(C)C)C(=C1C(=O)O)O,298.15
CCCCCCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
CCCCCC,CC(C=C1)=CC2=C1C(C)(C)OC3=C2C(OC(C)=O)=CC(CCCCC)=C3,298.15
